user_id,education,experience_years,skills,interests,certification,learning_source,projects_count,dominant_project_domain,target_career,row_type
e2fdde35,BBA,6,"roadmapping, okrs, sql, excel, product management",growth marketing,PMP,university,3,business,Product Manager,natural
7cd4ae64,MCA,1,"python, microservices, nodejs, java, postgresql",devops,Udemy Web Dev,online-course,0,none,Backend Developer,natural
57d5679d,BCA,1,"kotlin, react native, ios, dart",backend development,Apple Swift,university,2,mobile,Mobile Developer,natural
9b91fca5,BBA,4,"ethical hacking, cybersecurity, firewall, networking",backend development,AWS Security,self-taught,5,security,Cybersecurity Analyst,pivot_t1
26848cdf,BBA,2,"social media, google analytics, seo, content writing, sql",product strategy,None,university,4,marketing,Digital Marketer,natural
323484ed,MCA,7,"deep learning, sql, business analysis, python, tableau",business intelligence,Coursera ML,workplace,4,data,Data Scientist,natural
085c4610,MBA,6,"product management, business analysis, roadmapping, agile, wireframing",growth marketing,PMP,university,5,business,Product Manager,natural
f2d12d43,MCA,6,"ethical hacking, linux, cryptography, networking, cybersecurity",backend development,AWS Security,online-course,7,security,Cybersecurity Analyst,pivot_t1
2d397787,BTech,3,"kubernetes, git, linux",backend development,Azure DevOps,university,3,devops,DevOps Engineer,natural
585e82a0,MCA,6,"css, nodejs, html, mongodb",devops,Udemy Web Dev,workplace,7,web,Full Stack Developer,natural
9f6720e8,BCA,6,"aws, cloud computing, kubernetes, python, ansible",backend development,Google Cloud Professional,online-course,6,cloud,Cloud Engineer,pivot_t1
d6d84a59,BSc,3,"tableau, business analysis, jira, requirements gathering, agile, content writing",product strategy,None,self-taught,5,business,Business Analyst,noise
393e294f,BTech,1,"wireframing, user research, ui/ux, design systems",ux research,Google UX Design,bootcamp,1,design,UI/UX Designer,pivot_t2
6f786514,BSc,2,"react, figma, git, sass, css, html",mobile development,Google UX Design,university,5,web,Web Developer,natural
96e16523,MBA,3,"dart, react native, javascript, kotlin, flutter",mobile development,None,bootcamp,4,mobile,Mobile Developer,pivot_t2
99a510a3,BSc,1,"pandas, power bi, r, excel",business intelligence,None,online-course,1,data,Data Analyst,natural
cd8b34ac,Diploma,5,"webpack, react, css, javascript",frontend development,Google UX Design,self-taught,6,web,Web Developer,natural
90b49411,Diploma,3,"firebase, dart, rest apis, sql",backend development,Google Associate Android,university,3,mobile,Mobile Developer,natural
1f524f4d,MCA,5,"cloud computing, kubernetes, bash, docker, terraform, google cloud",backend development,None,workplace,6,cloud,Cloud Engineer,natural
27e25be8,MCA,1,"flutter, dart, kotlin, nodejs",mobile development,None,university,2,mobile,Mobile Developer,noise
8878da60,BTech,4,"deep learning, tensorflow, sql, python, kubernetes",data engineering,None,workplace,3,ml,ML Engineer,natural
314204c8,MCA,2,"sql, git, css, javascript",frontend development,None,self-taught,3,web,Full Stack Developer,natural
518735c5,Diploma,5,"css, html, adobe xd, ui/ux",frontend development,None,online-course,6,design,UI/UX Designer,natural
b38067a5,BTech,2,"jenkins, kubernetes, terraform, bash, docker",devops,Azure DevOps,online-course,4,devops,DevOps Engineer,natural
6e545280,Diploma,4,"docker, sql, nodejs, html, digital marketing",backend development,None,university,5,web,Full Stack Developer,noise
248ce019,BTech,4,"rest apis, firebase, flutter, javascript",frontend development,Google Associate Android,bootcamp,6,mobile,Mobile Developer,pivot_t1
26317892,BBA,0,"sass, nodejs, javascript, html, react, webpack, user research",ux research,Google UX Design,workplace,1,web,Web Developer,noise
761f6bc2,Diploma,5,"wireframing, roadmapping, jira, excel, python, product management",business intelligence,Scrum Master,online-course,7,business,Product Manager,pivot_t1
2d9dc266,BTech,1,"docker, machine learning, tensorflow, python, kubernetes",machine learning,None,workplace,0,none,ML Engineer,natural
9ebb09cb,MCA,2,"sql, android, flutter, firebase, kotlin, figma",frontend development,Google Associate Android,workplace,4,mobile,Mobile Developer,noise
e1eb396f,BBA,0,"seo, social media, content writing, power bi",product strategy,HubSpot Marketing,workplace,2,marketing,Digital Marketer,natural
60a7436d,BBA,2,"python, excel, power bi, jira",business intelligence,Scrum Master,university,3,business,Business Analyst,natural
afa9047f,Diploma,3,"webpack, html, sass, react",mobile development,Google UX Design,workplace,4,web,Web Developer,natural
28f15669,MBA,3,"process mapping, excel, python, requirements gathering, business analysis",product strategy,Microsoft Power BI,university,3,business,Business Analyst,natural
ff2611b3,BTech,4,"kubernetes, ci/cd, jenkins",backend development,Google Cloud Professional,university,3,devops,DevOps Engineer,natural
7740a3e0,BCA,4,"figma, javascript, typescript, css",mobile development,None,university,2,web,Web Developer,natural
c733fe02,MCA,9,"machine learning, tableau, python, deep learning",machine learning,DeepLearning.AI,workplace,8,data,Data Scientist,natural
b8fafb62,BSc,8,"linux, penetration testing, networking, ethical hacking, cybersecurity, siem",cloud infrastructure,CompTIA Security+,online-course,7,security,Cybersecurity Analyst,pivot_t2
cca5d963,BCA,2,"sass, react, html, python",frontend development,Meta Front-End Developer,workplace,2,web,Web Developer,noise
da6d756d,BSc,7,"power bi, data analysis, google analytics, tableau",data engineering,None,university,7,data,Data Analyst,natural
cf30c09f,Diploma,2,"linux, networking, cloud computing, cybersecurity, cryptography",cybersecurity,AWS Security,university,4,security,Cybersecurity Analyst,natural
f82da2c8,MCA,1,"sql, deep learning, excel, data analysis",business intelligence,IBM Data Science,online-course,3,data,Data Scientist,natural
88ec3b58,BBA,6,"seo, excel, google analytics, copywriting",product strategy,Coursera Marketing,university,6,marketing,Digital Marketer,natural
9b2a1d30,Diploma,5,"agile, jira, power bi, product management, business analysis",product strategy,Scrum Master,university,8,business,Business Analyst,pivot_t1
9387a158,Diploma,0,"android, dart, rest apis, javascript",backend development,None,workplace,2,mobile,Mobile Developer,natural
a162abd6,BBA,3,"linux, git, kubernetes, docker, ci/cd",cloud infrastructure,Google Cloud Professional,online-course,3,devops,DevOps Engineer,pivot_t2
38832ce2,MCA,0,"ios, firebase, kotlin, react native, flutter, html",backend development,None,self-taught,1,mobile,Mobile Developer,noise
8a950744,BBA,4,"docker, java, nodejs, sql, postgresql, python",cloud infrastructure,Oracle Java,bootcamp,2,web,Backend Developer,pivot_t2
8e2fedc1,MCA,4,"kubernetes, pytorch, python, deep learning",machine learning,Coursera ML,bootcamp,5,ml,ML Engineer,natural
0bf7ec1e,BSc,0,"deep learning, mlflow, tensorflow",machine learning,IBM Data Analyst,bootcamp,1,ml,ML Engineer,pivot_t3
2296a957,BBA,1,"statistics, tableau, sql, business analysis, seo",business intelligence,None,workplace,0,none,Data Scientist,noise
b6535470,MBA,8,"agile, wireframing, product management, excel, sql",product strategy,Coursera PM,university,10,business,Product Manager,natural
472189a1,BTech,4,"cloud computing, ansible, kubernetes, bash, aws, networking",backend development,AWS Solutions Architect,workplace,2,cloud,Cloud Engineer,natural
0958d915,MBA,0,"agile, product management, business analysis",growth marketing,Google Cloud Professional,university,1,business,Product Manager,pivot_t3
061812b3,MCA,1,"ansible, docker, aws, kubernetes",cloud infrastructure,AWS DevOps,university,1,cloud,Cloud Engineer,natural
80b2d97a,MBA,5,"roadmapping, jira, user research, product management, okrs",growth marketing,AWS DevOps,bootcamp,4,business,Product Manager,pivot_t3
bf184bbd,BCA,1,"process mapping, python, agile, sql, tableau, excel, react",product strategy,Microsoft Power BI,online-course,3,business,Business Analyst,noise
89ea383f,BSc,5,"networking, cloud computing, siem, linux, ethical hacking, penetration testing",backend development,CEH Ethical Hacking,university,3,security,Cybersecurity Analyst,natural
9b47245f,MCA,6,"python, tableau, statistics, machine learning, numpy",machine learning,None,university,5,data,Data Scientist,natural
48238a3c,MCA,3,"react, html, javascript, git, next.js",devops,freeCodeCamp,workplace,5,web,Full Stack Developer,natural
4052e342,BSc,4,"dart, javascript, firebase, flutter, swift",mobile development,Google Associate Android,workplace,6,mobile,Mobile Developer,pivot_t1
2e590948,MBA,3,"ethical hacking, siem, penetration testing, cybersecurity, linux",cybersecurity,CEH Ethical Hacking,university,5,security,Cybersecurity Analyst,natural
57cdbd05,MCA,3,"css, sql, git, next.js, react, javascript",devops,Meta Front-End Developer,workplace,3,web,Full Stack Developer,natural
ad91ad1d,BCA,3,"css, adobe xd, ui/ux, figma, wireframing",frontend development,None,online-course,3,design,UI/UX Designer,pivot_t2
de8b3b08,MBA,6,"cryptography, cloud computing, siem, cybersecurity, networking, linux",cybersecurity,CEH Ethical Hacking,university,5,security,Cybersecurity Analyst,natural
45feacd7,BTech,4,"kubernetes, networking, aws, linux",backend development,None,workplace,4,cloud,Cloud Engineer,natural
d404cf4b,BBA,0,"digital marketing, content writing, seo, ads",growth marketing,None,university,1,marketing,Digital Marketer,natural
5713c61b,MCA,4,"statistics, sql, numpy",business intelligence,None,online-course,2,data,Data Scientist,natural
b05a40b3,BBA,4,"nodejs, java, python, mongodb, sql",cloud infrastructure,Oracle Java,self-taught,3,web,Backend Developer,pivot_t1
0be20f44,BBA,5,"product management, excel, user research",product strategy,None,self-taught,3,business,Product Manager,pivot_t3
7e8042d7,BTech,5,"terraform, jenkins, ci/cd, prometheus",devops,Azure DevOps,university,4,devops,DevOps Engineer,natural
2b2fa86a,BSc,5,"pandas, sql, power bi, data analysis",machine learning,Google Data Analytics,university,7,data,Data Analyst,natural
2c7b9820,Diploma,3,"cryptography, ethical hacking, firewall, bash, linux",cloud infrastructure,None,university,4,security,Cybersecurity Analyst,natural
2a6187a0,MBA,6,"sql, user research, data analysis, jira, agile, roadmapping",product strategy,PMP,workplace,4,business,Product Manager,natural
9552d7f1,BTech,1,"process mapping, jira, agile, sql, tableau, machine learning",business intelligence,CBAP,workplace,2,business,Business Analyst,noise
3d0a0169,MBA,4,"agile, sql, tableau",growth marketing,None,online-course,5,business,Business Analyst,natural
8b235ee9,BCA,4,"spark, pytorch, sql, tensorflow, machine learning, html",machine learning,AWS ML Specialty,online-course,3,ml,ML Engineer,noise
bf9bdbda,BCA,4,"cybersecurity, cryptography, linux, ui/ux",backend development,None,online-course,5,security,Cybersecurity Analyst,noise
0a32aebb,BSc,5,"ethical hacking, cybersecurity, python, networking, firebase",cybersecurity,None,workplace,4,security,Cybersecurity Analyst,noise
20cd3656,MCA,5,"jira, agile, business analysis, power bi",product strategy,Microsoft Power BI,online-course,7,business,Business Analyst,pivot_t1
95587c99,MBA,6,"power bi, business analysis, google analytics, tableau, data analysis, sql",business intelligence,Google Data Analytics,self-taught,9,data,Data Analyst,pivot_t1
470120fc,MCA,3,"product management, business analysis, agile, sql, process mapping",growth marketing,None,self-taught,3,business,Business Analyst,pivot_t2
eeca6d4c,MCA,4,"html, css, react, next.js",frontend development,Meta Front-End Developer,online-course,6,web,Web Developer,pivot_t1
3593be02,MBA,5,"process mapping, business analysis, jira",growth marketing,None,online-course,7,business,Business Analyst,pivot_t3
b37d723a,BTech,1,"terraform, docker, ansible, cloud computing",cloud infrastructure,Google Cloud Professional,university,3,cloud,Cloud Engineer,natural
be637a1f,MCA,1,"cloud computing, kubernetes, ansible",devops,Azure Fundamentals,university,3,cloud,Cloud Engineer,natural
edda237f,MBA,7,"wireframing, user research, figma, prototyping, ui/ux",frontend development,Google UX Design,workplace,9,design,UI/UX Designer,pivot_t1
4d97439f,MCA,8,"agile, jira, user research, excel, roadmapping",product strategy,None,self-taught,8,business,Product Manager,pivot_t2
e40b8443,MCA,1,"git, css, react, html, webpack, next.js",frontend development,None,self-taught,3,web,Web Developer,pivot_t2
194c3e87,MBA,0,"digital marketing, google analytics, email marketing, seo",business intelligence,None,workplace,2,marketing,Digital Marketer,natural
97d29499,MBA,3,"html, sass, react, javascript, adobe xd",ux research,Udemy Web Dev,online-course,2,web,Web Developer,noise
46331d82,Diploma,0,"design systems, html, figma, wireframing, adobe xd",product strategy,Meta Front-End Developer,university,2,design,UI/UX Designer,natural
a9ebf131,BTech,1,"java, nodejs, mongodb",devops,AWS Solutions Architect,university,0,none,Backend Developer,natural
3ee9cd4c,BTech,5,"excel, power bi, business analysis, statistics, data analysis",business intelligence,None,online-course,3,data,Data Analyst,pivot_t2
16757380,MCA,4,"docker, networking, aws, linux, azure",cloud infrastructure,Azure Fundamentals,university,5,cloud,Cloud Engineer,natural
f4994fc6,BBA,5,"tableau, data analysis, statistics, sql, business analysis",machine learning,None,self-taught,6,data,Data Analyst,pivot_t2
aecedaa6,BSc,0,"react, javascript, webpack, html, sass",ux research,Meta Front-End Developer,bootcamp,0,none,Web Developer,natural
93931edb,BSc,1,"html, ui/ux, wireframing, user research, aws",product strategy,None,university,3,design,UI/UX Designer,noise
36f31ab6,MBA,6,"cybersecurity, linux, siem, ethical hacking",cybersecurity,CompTIA Security+,university,4,security,Cybersecurity Analyst,natural
c362a539,Diploma,4,"swift, firebase, flutter, javascript",backend development,None,online-course,5,mobile,Mobile Developer,natural
ace33c00,BCA,1,"mlflow, tensorflow, spark, python, sql, jira",machine learning,None,online-course,2,ml,ML Engineer,noise
19df6cca,BSc,0,"git, figma, html, css, javascript",ux research,freeCodeCamp,university,0,none,Web Developer,natural
cd95e0ad,MCA,2,"kubernetes, linux, networking, aws, docker",backend development,Google Cloud Professional,university,3,cloud,Cloud Engineer,natural
218af999,BCA,0,"sql, docker, redis, nodejs",cloud infrastructure,AWS Solutions Architect,online-course,3,web,Backend Developer,natural
7515f913,BSc,1,"statistics, machine learning, r, tableau",data engineering,Google Data Analytics,workplace,1,data,Data Scientist,natural
1e5d9a55,MBA,6,"content writing, excel, digital marketing, social media",growth marketing,None,university,3,marketing,Digital Marketer,natural
eec2c696,BBA,5,"content writing, social media, google analytics, sql",business intelligence,Coursera Marketing,university,6,marketing,Digital Marketer,natural
0ed9fa19,BBA,3,"agile, roadmapping, business analysis, okrs, excel",business intelligence,Product School PM,online-course,2,business,Product Manager,natural
189410b2,MBA,3,"terraform, python, jenkins, kubernetes, ci/cd",devops,None,self-taught,3,devops,DevOps Engineer,pivot_t2
c587878e,Diploma,4,"excel, google analytics, content writing, digital marketing, seo, email marketing",growth marketing,None,self-taught,5,marketing,Digital Marketer,pivot_t2
2f14944d,Diploma,3,"content writing, digital marketing, ads, email marketing, jira",business intelligence,None,online-course,3,marketing,Digital Marketer,noise
047f0690,BTech,7,"html, sql, javascript",frontend development,AWS Solutions Architect,university,4,web,Full Stack Developer,natural
854d1982,Diploma,3,"nodejs, next.js, sql, html, javascript",frontend development,None,university,5,web,Full Stack Developer,natural
a0a43fa0,BTech,3,"azure, ansible, docker",devops,AWS DevOps,university,3,cloud,Cloud Engineer,natural
95ef5e19,BSc,2,"next.js, javascript, html",ux research,Meta Front-End Developer,university,3,web,Web Developer,natural
4a8891be,BSc,5,"kubernetes, pytorch, python, seo",machine learning,None,university,5,ml,ML Engineer,noise
eba525db,BTech,3,"flutter, firebase, android, react native",frontend development,None,online-course,5,mobile,Mobile Developer,pivot_t2
a0d0f3e2,Diploma,4,"statistics, machine learning, power bi, sql",machine learning,None,self-taught,3,data,Data Scientist,pivot_t2
3a816f21,Diploma,2,"wireframing, user research, figma, prototyping, sketch",ux research,None,workplace,4,design,UI/UX Designer,natural
0321f485,BTech,4,"figma, html, adobe xd, user research, ui/ux",ux research,Google UX Design,online-course,5,design,UI/UX Designer,pivot_t1
5f5d08cc,Diploma,3,"python, nodejs, sql, postgresql, mongodb",devops,Oracle Java,self-taught,4,web,Backend Developer,pivot_t2
f246cc79,BSc,1,"agile, sql, requirements gathering, power bi, data analysis",product strategy,Scrum Master,university,2,business,Business Analyst,noise
0ddc1df3,BTech,8,"nodejs, css, docker",devops,freeCodeCamp,university,10,web,Full Stack Developer,natural
639c73cb,BBA,5,"adobe xd, user research, figma, prototyping",ux research,Google UX Design,self-taught,5,design,UI/UX Designer,pivot_t1
6e95ee43,MBA,3,"excel, business analysis, jira, power bi",product strategy,PMP,workplace,4,business,Business Analyst,natural
6c1f209e,BCA,2,"next.js, html, react, nodejs, kubernetes",backend development,Udemy Web Dev,online-course,5,web,Full Stack Developer,noise
aaa7af6d,BBA,4,"agile, business analysis, excel, process mapping, tableau",product strategy,None,university,5,business,Business Analyst,natural
77b2121f,MBA,6,"wireframing, roadmapping, product management, agile",business intelligence,PMP,university,3,business,Product Manager,natural
f1ad07ab,Diploma,5,"prototyping, wireframing, figma, design systems, ui/ux",frontend development,None,online-course,4,design,UI/UX Designer,pivot_t3
dcdac6e3,MCA,2,"tensorflow, feature engineering, deep learning",data engineering,DeepLearning.AI,workplace,2,ml,ML Engineer,natural
5026ec1f,BSc,5,"cryptography, firewall, linux, cybersecurity, ethical hacking, cloud computing",backend development,CISSP,online-course,6,security,Cybersecurity Analyst,natural
8eec30a0,BBA,5,"tableau, jira, process mapping, business analysis, agile, python",product strategy,None,online-course,5,business,Business Analyst,natural
b0a9a905,BSc,1,"data analysis, power bi, google analytics, python, reporting",machine learning,IBM Data Analyst,university,3,data,Data Analyst,natural
6abbd7d7,BBA,2,"digital marketing, seo, power bi, email marketing, excel",business intelligence,Coursera Marketing,university,4,marketing,Digital Marketer,natural
b9ea73eb,Diploma,4,"webpack, css, javascript, next.js",mobile development,Google UX Design,workplace,5,web,Web Developer,natural
e419c054,BTech,5,"ci/cd, kubernetes, ansible, docker",devops,Google Cloud Professional,self-taught,7,devops,DevOps Engineer,natural
d07b9f34,MBA,5,"python, sql, product management, agile, jira, user research",product strategy,Scrum Master,online-course,7,business,Product Manager,natural
0307c1f7,BSc,1,"deep learning, statistics, sql, business analysis, power bi",business intelligence,IBM Data Science,online-course,3,data,Data Scientist,natural
63e5f7cc,BSc,1,"sql, pandas, tableau, excel, statistics",business intelligence,None,workplace,3,data,Data Analyst,natural
e94298de,MCA,1,"rest apis, sql, docker, python, microservices",devops,None,workplace,3,web,Backend Developer,natural
1170209c,BTech,6,"mlflow, linux, kubernetes, pytorch, machine learning",machine learning,DeepLearning.AI,university,6,ml,ML Engineer,natural
9163b6c1,BBA,0,"seo, copywriting, digital marketing, excel, google analytics, power bi",growth marketing,Meta Marketing,workplace,2,marketing,Digital Marketer,natural
d75ebb73,Diploma,4,"python, process mapping, agile, sql, javascript",growth marketing,PMP,online-course,5,business,Business Analyst,noise
bf1f1ed5,BTech,3,"rest apis, sql, postgresql, java, css",backend development,None,online-course,4,web,Backend Developer,noise
1b445fb8,BTech,5,"kotlin, android, flutter, react native, javascript, dart",mobile development,Udemy Mobile Dev,online-course,6,mobile,Mobile Developer,pivot_t2
c2e96ad9,Diploma,4,"python, ansible, kubernetes, docker, linux, ci/cd",backend development,None,bootcamp,5,devops,DevOps Engineer,pivot_t2
3b8203be,MBA,5,"rest apis, sql, swift, firebase, flutter, dart, react native",mobile development,Flutter Certified,online-course,6,mobile,Mobile Developer,pivot_t1
ff9c5bcf,BCA,7,"data analysis, python, sql, excel, statistics, pandas",business intelligence,DeepLearning.AI,workplace,7,data,Data Scientist,pivot_t2
39d96da7,MBA,8,"content writing, digital marketing, email marketing, ads, seo",product strategy,None,university,9,marketing,Digital Marketer,natural
24948c00,Diploma,2,"dart, react native, swift, firebase",mobile development,None,university,4,mobile,Mobile Developer,natural
20536a13,MCA,0,"rest apis, docker, java",backend development,Udemy Web Dev,university,2,web,Backend Developer,natural
fe9c10d8,BSc,1,"google analytics, reporting, power bi, statistics, sql",machine learning,Tableau Desktop,bootcamp,1,data,Data Analyst,natural
7973b06c,BTech,3,"mongodb, sql, rest apis, microservices",devops,Udemy Web Dev,university,5,web,Backend Developer,natural
b66429f1,MCA,3,"nodejs, sql, microservices",cloud infrastructure,None,self-taught,3,web,Backend Developer,pivot_t3
fed58c9c,MBA,2,"business analysis, python, requirements gathering, agile",growth marketing,PMP,workplace,3,business,Business Analyst,natural
f158f1a3,BCA,2,"docker, sql, mongodb, nodejs",frontend development,Udemy Web Dev,university,2,web,Full Stack Developer,natural
82f94f4a,BBA,5,"excel, agile, python, sql, tableau, process mapping",product strategy,None,online-course,3,business,Business Analyst,pivot_t3
b3c280df,BBA,1,"prototyping, product management, adobe xd, design systems, ui/ux, wireframing, rest apis",product strategy,None,bootcamp,3,design,UI/UX Designer,noise
8cff600b,BTech,1,"prometheus, kubernetes, docker, aws",backend development,Kubernetes CKA,workplace,0,none,DevOps Engineer,natural
6a528546,BBA,8,"roadmapping, user research, python, excel, business analysis, product management",product strategy,Product School PM,university,5,business,Product Manager,natural
fec67c32,BSc,3,"python, numpy, statistics",machine learning,DeepLearning.AI,workplace,5,data,Data Scientist,natural
6ad0340f,BSc,1,"power bi, r, business analysis, excel, data analysis",business intelligence,None,university,0,none,Data Analyst,natural
c932bd14,BSc,2,"excel, jira, sql, requirements gathering",growth marketing,None,workplace,2,business,Business Analyst,pivot_t2
90339212,BBA,5,"excel, power bi, process mapping, sql, jira",business intelligence,None,bootcamp,7,business,Business Analyst,natural
8319299c,BBA,0,"agile, python, business analysis, requirements gathering",business intelligence,None,university,2,business,Business Analyst,pivot_t3
916b465b,BBA,1,"ads, digital marketing, email marketing, seo, google analytics",business intelligence,Meta Marketing,university,2,marketing,Digital Marketer,natural
8298e952,BBA,4,"networking, cloud computing, azure, docker, business analysis",backend development,None,university,5,cloud,Cloud Engineer,noise
fb5af021,BCA,5,"tensorflow, deep learning, machine learning, spark, pytorch",data engineering,Coursera ML,self-taught,7,ml,ML Engineer,pivot_t2
fb7bdcaa,BBA,1,"python, data analysis, business analysis, excel, sql, ui/ux",business intelligence,None,workplace,0,none,Data Analyst,noise
8e689d4b,MCA,5,"kubernetes, jenkins, terraform, linux, ansible, python",backend development,None,online-course,7,devops,DevOps Engineer,noise
75c00394,BSc,6,"mongodb, rest apis, sql, java",devops,None,workplace,4,web,Backend Developer,pivot_t2
b776d863,Diploma,3,"css, wireframing, product management, ui/ux, figma",product strategy,Interaction Design Foundation,workplace,5,design,UI/UX Designer,natural
28a1595a,BTech,5,"sql, redis, rest apis, python",devops,Udemy Mobile Dev,workplace,5,web,Backend Developer,pivot_t3
729f2052,Diploma,0,"kotlin, android, git, dart, javascript",frontend development,Udemy Mobile Dev,workplace,1,mobile,Mobile Developer,natural
6aac3013,BBA,3,"data analysis, python, pandas, statistics, sql",data engineering,Google Data Analytics,self-taught,3,data,Data Scientist,pivot_t2
2dfa6c7b,BCA,8,"excel, roadmapping, agile, user research, product management, okrs",business intelligence,None,bootcamp,10,business,Product Manager,pivot_t2
54d6d5f8,BCA,1,"docker, pytorch, machine learning, tensorflow, python",machine learning,None,university,1,ml,ML Engineer,pivot_t2
386e8cd7,MCA,1,"python, google cloud, docker, azure, aws",cloud infrastructure,AWS DevOps,bootcamp,3,cloud,Cloud Engineer,natural
ebdbef0e,MBA,3,"deep learning, pytorch, python, feature engineering, aws",devops,AWS ML Specialty,self-taught,5,ml,ML Engineer,noise
376d0495,BBA,2,"python, pytorch, tensorflow, docker, deep learning",data engineering,TensorFlow Developer,online-course,4,ml,ML Engineer,pivot_t2
